p-th Cyclo pol,#F_q (pol factored over F_q),sparsity,ord_p(q),sparsity <= ord_p(q)?
2,0,0,3,False
5,0,0,6,False
11,3,5,5,True
13,3,3,3,True
17,13,4,4,True
19,7,3,3,True
23,2,7,11,True
29,7,6,7,True
37,11,6,6,True
41,3,6,8,True
43,7,5,6,True
47,3,14,23,True
53,7,18,26,True
59,3,23,29,True
61,13,3,3,True
67,29,3,3,True
71,5,4,5,True
73,2,3,9,True
79,2,23,39,True
83,3,29,41,True
89,2,5,11,True
97,2,17,48,True
101,17,9,10,True
103,23,16,17,True
107,3,38,53,True
109,3,18,27,True
113,7,11,14,True
131,19,25,26,True
137,2,39,68,True
139,23,43,46,True
149,5,30,37,True
151,19,5,5,True
157,13,4,6,True
163,23,17,18,True
167,2,43,83,True
173,23,42,43,True
179,3,62,89,True
181,19,4,4,True
191,7,5,10,True
193,3,8,16,True
197,19,12,14,True
199,19,15,18,True
211,23,9,10,True
223,2,19,37,True
227,3,71,113,True
229,17,17,19,True
233,2,13,29,True
239,23,31,34,True
241,2,11,24,True
251,5,20,25,True
257,2,5,16,True
263,2,79,131,True
269,5,54,67,True
271,29,5,6,True
277,19,22,23,True
281,7,15,20,True
283,2,43,94,True
293,17,69,73,True
307,17,3,3,True
311,13,27,31,True
313,5,4,8,True
317,11,72,79,True
331,2,9,30,True
337,2,9,21,True
347,3,119,173,True
349,17,53,58,True
353,7,27,32,True
359,2,87,179,True
367,7,48,61,True
373,7,50,62,True
379,5,16,21,True
383,2,91,191,True
389,5,80,97,True
397,2,19,44,True
401,29,7,10,True
409,5,13,17,True
419,13,10,11,True
421,29,4,4,True
431,2,17,43,True
433,3,15,27,True
439,2,33,73,True
443,13,15,17,True
449,5,9,14,True
457,17,29,38,True
461,23,21,23,True
463,13,39,42,True
467,3,158,233,True
479,2,115,239,True
487,19,26,27,True
491,3,28,49,True
499,2,69,166,True
503,2,135,251,True
509,23,119,127,True
521,5,5,10,True
523,19,8,9,True
541,17,53,60,True
